"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Affiliations","Authors with affiliations","Abstract","Author Keywords","Index Keywords","Publisher","Document Type","Publication Stage","Open Access","Source","EID"
"Cárdenas M.; Aguilar L.; Cevallos F.; Rivera E.F.","Cárdenas, Michell (60624694800); Aguilar, Lissette (60625637000); Cevallos, Fausto (60624329100); Rivera, E. Fabián (57220525223)","60624694800; 60625637000; 60624329100; 57220525223","Multi-criteria Comparison of Supervised Models for Bank Customer Churn Prediction: A Performance, Efficiency, and Explainability-Based Approach","2026","Lecture Notes in Networks and Systems","1881 LNNS","","","377","388","0","10.1007/978-3-032-20729-6_28","https://www.scopus.com/pages/publications/105038392709?origin=resultslist","FaCAGEI, Universidad Estatal de Bolívar, Guaranda, 020102, Ecuador","Cárdenas M., FaCAGEI, Universidad Estatal de Bolívar, Guaranda, 020102, Ecuador; Aguilar L., FaCAGEI, Universidad Estatal de Bolívar, Guaranda, 020102, Ecuador; Cevallos F., FaCAGEI, Universidad Estatal de Bolívar, Guaranda, 020102, Ecuador; Rivera E.F., FaCAGEI, Universidad Estatal de Bolívar, Guaranda, 020102, Ecuador","Customer churn in the banking sector represents a critical challenge due to intense market competition and the high costs associated with customer loss. This article presents a multi-criteria comparison of four advanced supervised models: Neural Network, XGBoost, LightGBM, and CatBoost, which were applied to the churn prediction problem using real banking datasets. The evaluation focuses on three fundamental dimensions: predictive performance, computational efficiency, and model explainability. In terms of predictive performance, standard metrics such as Accuracy, Precision, Recall, and F1-Score were used, along with ROC and Precision-Recall curves. The results showed that CatBoost achieved the highest overall performance with an Accuracy of 0.868 and an F1-score of 0.596, followed by LightGBM and XGBoost, slightly outperforming the neural network in recall and overall balance. Regarding efficiency, LightGBM stood out for its fast training and prediction speed, while CatBoost demonstrated strong stability without the need for manual encoding of categorical variables. For interpretability, Shapley Additive exPlanations (SHAP) techniques were applied to analyze the contribution of key variables, which is essential in regulated banking contexts. The combination of results identified CatBoost as the model with the best balance between precision, efficiency, and explainability. Therefore, the multi-criteria comparative approach provides a robust basis for selecting predictive models in the financial industry, maximizing customer retention, and optimizing strategic decision-making. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2026.","banking analytics; Customer Churn; machine learning; model explainability; supervised learning","Banking; Competition; Computational efficiency; Customer satisfaction; Decision making; Forecasting; Learning systems; Neural networks; Optimization; Prediction models; Sales; Banking analytic; Customer churn prediction; Customer churns; F1 scores; Machine-learning; Model explainability; Multi-criteria; Multi-Criterion; Neural-networks; Predictive performance; Supervised learning","Springer Science and Business Media Deutschland GmbH","Conference paper","Final","","Scopus","2-s2.0-105038392709"
"Moorthy P.T.; Franklin J.V.; Manju Bashini S.","Moorthy, P.Thiru (60559964500); Franklin, J.Vijay (60503243000); Manju Bashini, S. (60559816000)","60559964500; 60503243000; 60559816000","Customer Churn Prediction","2025","Proceedings of 5th International Conference on Ubiquitous Computing and Intelligent Information Systems, ICUIS 2025","","","","822","826","0","10.1109/ICUIS67429.2025.11380622","https://www.scopus.com/pages/publications/105034905695?origin=resultslist","Erode Sengunthar Engineering College, Department of Computer Science and Engineering, Tamil Nadu, Erode, India","Moorthy P.T., Erode Sengunthar Engineering College, Department of Computer Science and Engineering, Tamil Nadu, Erode, India; Franklin J.V., Erode Sengunthar Engineering College, Department of Computer Science and Engineering, Tamil Nadu, Erode, India; Manju Bashini S., Erode Sengunthar Engineering College, Department of Computer Science and Engineering, Tamil Nadu, Erode, India","Customer churn is a significant issue for financial institutions because it is cheaper to retain existing customers than to acquire brand new customers. This study presents a machine learning approach for customer churn prediction by leveraging structured and unstructured datasets. The dataset comprises data from 500 customers with 19 demographic, behavioral, and feedback-related features. A full pre-processing pipeline was implemented to handle missing values, encode categorical variables, scale numerical variables, and produce a TF-IDF and sentiment analysis of customer feedback. A variety of classifying algorithms were trained to assess predictive power including Logistic Regression, Random Forest, XGBoost, and Support Vector Machine and measured through accuracy, AUC, and confusion matrix metrics. Of all the classifying models, the XGBoost model produced the highest predictive performance. The trained model will be leveraged as an interactive Streamlit application, where users will acquire both single and bulk predictions of customer churn probability as visualization of feature importance and action guidance to mitigate churn. The proposed system has validated that sentiments from free texts can be iterated into structured models to improve overall accuracy of churn classification mechanism, but also enhance mitigating retention strategies for banking institutions proactively.  © 2025 IEEE.","Customer Churn; Customer Retention; Machine Learning","Customer satisfaction; Data mining; Feedback; Learning systems; Logistic regression; Population statistics; Random forests; Sales; Support vector regression; Categorical variables; Customer churn prediction; Customer churns; Customer retention; Financial institution; Machine learning approaches; Machine-learning; Missing values; Numerical variables; Pre-processing; Forecasting","Institute of Electrical and Electronics Engineers Inc.","Conference paper","Final","","Scopus","2-s2.0-105034905695"
"Setiana E.; Alamsyah N.; Hendra A.; Danestiara V.R.; Budiman; Nursyanti R.","Setiana, Elia (58850320300); Alamsyah, Nur (57209454458); Hendra, Acep (59378258000); Danestiara, Venia Restreva (58850557500); Budiman (57217907317); Nursyanti, Reni (59707311700)","58850320300; 57209454458; 59378258000; 58850557500; 57217907317; 59707311700","Improving Churn Prediction in Banking: Hyperparameter Optimization of MLP with SHAP and Permutation Feature Importance","2025","2025 10th International Conference on Informatics and Computing, ICIC 2025","","","","","","0","10.1109/ICIC68054.2025.11309692","https://www.scopus.com/pages/publications/105032067977?origin=resultslist","Unibi, Faculty of Technology and Informatics, Bandung, Indonesia","Setiana E., Unibi, Faculty of Technology and Informatics, Bandung, Indonesia; Alamsyah N., Unibi, Faculty of Technology and Informatics, Bandung, Indonesia; Hendra A., Unibi, Faculty of Technology and Informatics, Bandung, Indonesia; Danestiara V.R., Unibi, Faculty of Technology and Informatics, Bandung, Indonesia; Budiman, Unibi, Faculty of Technology and Informatics, Bandung, Indonesia; Nursyanti R., Unibi, Faculty of Technology and Informatics, Bandung, Indonesia","In the competitive banking industry, accurately predicting customer churn is essential for developing effective retention strategies. This study proposes a hyperparameter-optimized deep learning approach using a Multi-Layer Per-ceptron (MLP) model. The model is trained and evaluated on a publicly available bank churn dataset comprising 10,000 customer records, with a balanced representation of churn and non-churn instances. To enhance interpretability, feature impor- tance is analyzed using both permutation-based methods and game-theoretic explainability techniques. Comparative analysis is conducted against classical machine learning models such as Random Forest, Support Vector Machine, and Gradient Boosting Machine. The optimized model achieves a validation accuracy of 86.65%, demonstrating its potential for practi- cal implementation in customer relationship management. In addition to accuracy, this study highlights the importance of transparent decision-making by identifying the key drivers of churn through feature importance analysis. The inclusion of hyperparameter optimization not only improves model performance but also ensures better generalization across different data distributions. These findings offer valuable insights for financial institutions aiming to integrate data-driven approaches in personalized customer retention programs.  © 2025 IEEE.","Churn Prediction; Deep Learning; Feature Importance; Hyperparameter Optimization; Multi-Layer Per-ceptron (MLP)","Banking; Customer satisfaction; Decision making; Forecasting; Game theory; Learning systems; Public relations; Sales; Support vector machines; Banking industry; Churn predictions; Customer churns; Deep learning; Feature importance; Hyper-parameter; Hyper-parameter optimizations; Multi-layer per-ceptra; Multi-layers; Retention strategies; Deep learning","Institute of Electrical and Electronics Engineers Inc.","Conference paper","Final","","Scopus","2-s2.0-105032067977"
"Pravin A.; Bizotto B.L.S.; Sathiyanarayanan M.; Prem Jacob T.","Pravin, A. (55603533000); Bizotto, Beatriz Lucia Salvador (48361034900); Sathiyanarayanan, Mithileysh (55613534100); Prem Jacob, T. (55834341000)","55603533000; 48361034900; 55613534100; 55834341000","Enhanced Framework to Predict Customer Churn using Machine Learning","2025","Proceedings of 8th International Conference on Inventive Computation Technologies, ICICT 2025","","","","8","12","1","10.1109/ICICT64420.2025.11005219","https://www.scopus.com/pages/publications/105007441955?origin=resultslist","Department of Computer Science and Engineering, Sathyabama Institute of Science and Technology, Chennai, India; Department of Social and Applied Sciences, University Center Unifacvest Lages, Brazil; MIT Square, London, United Kingdom","Pravin A., Department of Computer Science and Engineering, Sathyabama Institute of Science and Technology, Chennai, India; Bizotto B.L.S., Department of Social and Applied Sciences, University Center Unifacvest Lages, Brazil; Sathiyanarayanan M., MIT Square, London, United Kingdom; Prem Jacob T., Department of Computer Science and Engineering, Sathyabama Institute of Science and Technology, Chennai, India","The leading challenge for most businesses is customer churn; it is very hard for every business organization to maintain their customers. If customers are not satisfied with the service provided by an organization, they will switch to another organization that better meets their needs. In terms of churn prediction (CP), many research work was proposed by researchers, who have used machine learning (ML) algorithms for prediction. In Telecommunication sector, due to switchover of the customer to other organization, the service provider will face a huge loss. Churn prediction in any type of business to preserve their customers by meeting all the expectations of the customer. A framework has been designed for estimating the customer exit within the banking industry by applying Machine Learning Algorithms. H2O AutoML is used to predict the churn from the banking data. By leveraging H2O AutoML, we employed different kinds of machine learning approaches, Like Stacked Ensemble, Gradient Boosting Machines (GBM), along with Deep Learning approaches. Results demonstrate that the suggested framework attained higher predictive accuracy, surpassing the performance of individual models in metrics like RMSE, MAE, and overall accuracy rates. It will help the banking sector to retain their customers. © 2025 IEEE.","Banking; Churn Prediction; Customer Preservation Machine Learning","Sales; Banking industry; Business organizations; Churn predictions; Customer churns; Customer preservation machine learning; Machine learning algorithms; Machine-learning; Service provider; Switchover; Telecommunication sector; Telecommunication industry","Institute of Electrical and Electronics Engineers Inc.","Conference paper","Final","","Scopus","2-s2.0-105007441955"
"Gurusamy U.M.; Anantharaman M.; Selvamani R.P.; Vijayarajan S.","Gurusamy, Uma Maheswari (57199165617); Anantharaman, Meenakshi (60207449800); Selvamani, Ram Prasath (60568947200); Vijayarajan, Sangeetha (59944389500)","57199165617; 60207449800; 60568947200; 59944389500","A Customer Lifetime Value-aware Framework for Strategic Churn Prediction Using Deep Learning; [Методология прогнозирования стратегического оттока клиентов с учётом их пожизненной ценности на основе глубокого обучения]","2026","Advanced Engineering Research (Rostov-on-Don)","26","1","2211","","","0","10.23947/2687-1653-2026-26-1-2211","https://www.scopus.com/pages/publications/105035148675?origin=resultslist","Kamaraj College of Engineering and Technology, Tamil Nadu, Virudhunagar, India; SRM Easwari Engineering College, Ramapuram, Chennai, India","Gurusamy U.M., Kamaraj College of Engineering and Technology, Tamil Nadu, Virudhunagar, India; Anantharaman M., Kamaraj College of Engineering and Technology, Tamil Nadu, Virudhunagar, India; Selvamani R.P., Kamaraj College of Engineering and Technology, Tamil Nadu, Virudhunagar, India; Vijayarajan S., SRM Easwari Engineering College, Ramapuram, Chennai, India","Introduction. Customer churn prediction represents a challenge in the current era of rapid digital transformation, hyper-competition, and data-driven marketing. In sectors such as telecommunications and banking, even marginal reductions in churn translate to significant revenue protection. Numerous companies employ uniform approaches, leading to the inefficient allocation of marketing resources and loss of loyal customers. Recent research has advanced along two largely separate domains. The first focuses on improving predictive accuracy through machine learning and deep learning techniques. Another stream, rooted in marketing science, emphasizes the economic dimension of churn, introducing Customer Lifetime Value (CLV) as a key metric. Existing solutions either maximize accuracy at high computational cost or discuss value-based strategy without providing a technical, implementable system. To bridge this gap, this paper aims to create, test, and present a comprehensive churn control system integrating customer lifetime value framework (CVLV). To achieve this, the following tasks are addressed: segmenting customers based on dynamic CLV and churn risk scores; evaluating the efficiency of various neural network configurations; and building a decision model that assigns optimal deep learning architectures for targeted retention, seamlessly integrating data analytics with corporate strategy. Materials and Methods. The study was performed on two datasets: IBM Telco Customer Churn (7,043 customers, 21 features, binary churn) and Santander Customer Transaction Prediction (200,000 records, 200 numerical features, binary target variable). The data were preprocessed to address class imbalance and split 70-15-15 (train-validation-test) using 5-fold cross-validation. ANN (3–6 layers) and RNN/LSTM models were compared within the CVLV framework. The training utilized Adam optimizer, L2 regularization, dropout, early stopping, gradient clipping, and uniform batch size and epoch settings. The performance was evaluated based on accuracy, loss, and the Pareto frontier. Subsequently, customers were segmented by CLV/risk level, and retention strategies were assigned to the respective optimal models. Results. The comprehensive assessment of artificial neural networks (ANN) and recurrent neural networks (RNN) shows that RNN with 2 layers achieved marginally higher accuracy of 0.90, while the 3-layer ANN produced the best robustness with a loss of 0.25 with relatively similar predictive performance. With the CVLV framework, RNN 2L is assigned for high value, high risk relationships that need the most precision, ANN 3L is assigned for stable, high value relationships, and general RNN for low value customers. Discussion. This work has shown that the CVLV framework strategically optimizes churn prediction by aligning deep learning models with customer value-risk profiles. The data obtained confirm that ANN 3L provides optimal robustness while RNN 2L achieves superior accuracy for temporal patterns, together enabling more efficient and targeted retention interventions across industries. This approach can be deployed across the telecommunications, banking and retail sectors and facilitate a meaningful connection between technical model performance and strategic decision-making, enabling organizations to deploy retention efforts effectively by aligning model capability with the customer's value and probability of churn. The findings indicates that strategic model assignments based on CLV-risk profiles led to improved efficiencies associated with retention without compromising predictive reliability. Conclusion. The main results are that the ANN 3L model provides the optimal balance of accuracy (0.875) and robustness (loss: 0.25) for churn prediction, while the RNN 2L achieves peak accuracy (0.90) for high-risk segments. The practical significance lies in the proposed CVLV framework, which enables businesses to strategically align deep learning model selection with customer lifetime value, improving retention efficiency. Further research will focus on integrating real-time CLV updates and validating the framework across additional industry domains. © Uma Maheswari Gurusamy, Meenakshi Anantharaman, Ram Prasath Selvamani, Sangeetha Vijayarajan, 2026.","accuracy; ANN; churn prediction; Customer Lifetime Value-aware; loss; optimum model; RNN","","Don State Technical University","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105035148675"
"Al-Quraishi T.; Albahri O.; Albahri A.; Alamoodi A.; Sharaf I.M.","Al-Quraishi, Tahsien (57196035672); Albahri, Osamah (57201013684); Albahri, Ahmed (57201009814); Alamoodi, Abdullah (57205435311); Sharaf, Iman Mohammed (17435789800)","57196035672; 57201013684; 57201009814; 57205435311; 17435789800","Bridging Predictive Insights and Retention Strategies: The Role of Account Balance in Banking Churn Prediction","2025","AI (Switzerland)","6","4","73","","","7","10.3390/ai6040073","https://www.scopus.com/pages/publications/105003442027?origin=resultslist","Victorian Institute of Technology (VIT), School of IT, Melbourne, 3000, VIC, Australia; Computer Techniques Engineering Department, Mazaya University College, Nasiriyah, 64001, Iraq; Technical Engineering College, Imam Ja’afar Al-Sadiq University, Baghdad, 10001, Iraq; Businesses Informatics College, University of Information Technology and Communications (UOITC), Baghdad, 10001, Iraq; GUST Engineering and Applied Innovation Research Center (GEAR), Gulf University for Science and Technology, Mishref, 32093, Kuwait; Applied Science Research Center, Applied Science Private University, Amman, 11931, Jordan; Department of Basic Sciences, Higher Technology Institute, Tenth of Ramadan City, 44629, Egypt","Al-Quraishi T., Victorian Institute of Technology (VIT), School of IT, Melbourne, 3000, VIC, Australia; Albahri O., Victorian Institute of Technology (VIT), School of IT, Melbourne, 3000, VIC, Australia, Computer Techniques Engineering Department, Mazaya University College, Nasiriyah, 64001, Iraq; Albahri A., Technical Engineering College, Imam Ja’afar Al-Sadiq University, Baghdad, 10001, Iraq, Businesses Informatics College, University of Information Technology and Communications (UOITC), Baghdad, 10001, Iraq; Alamoodi A., GUST Engineering and Applied Innovation Research Center (GEAR), Gulf University for Science and Technology, Mishref, 32093, Kuwait, Applied Science Research Center, Applied Science Private University, Amman, 11931, Jordan; Sharaf I.M., Department of Basic Sciences, Higher Technology Institute, Tenth of Ramadan City, 44629, Egypt","The banking industry faces significant challenges, from high customer churn rates to threatening long-term revenue generation. Traditionally, churn models assess service quality using customer satisfaction metrics; however, these subjective variables often yield low predictive accuracy. This study examines the relationship between customer attrition and account balance using decision trees (DT), random forests (RF), and gradient-boosting machines (GBM). This research utilises a customer churn dataset and applies synthetic oversampling to balance class distribution during the preprocessing of financial variables. Account balance service is the primary factor in predicting customer churn, as it yields more accurate predictions compared to traditional subjective assessment methods. The tested model set achieved its highest predictive performance by applying boosting methods. The evaluation of research data highlights the critical role of financial indicators in shaping effective customer retention strategies. By leveraging machine learning intelligence, banks can make more informed decisions, attract new clients, and mitigate churn risk, ultimately enhancing long-term financial results. © 2025 by the authors.","account balance analysis; banking analytics; customer churn prediction; customer retention strategies; machine learning models; predictive analytics","","Multidisciplinary Digital Publishing Institute (MDPI)","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105003442027"
"Rakshitha V.; Reddy R.S.; Reddy A.T.; Keerthi S.S.","Rakshitha, V. (59985006400); Reddy, Ranesh S. (60559926900); Reddy, Abhiram T. (60560367500); Keerthi, Swarna S. (58773595400)","59985006400; 60559926900; 60560367500; 58773595400","Anticipating Customer Churn Prediction using Machine Learning","2025","16th International Conference on Advances in Computing, Control, and Telecommunication Technologies, ACT 2025","2","","","10340","10346","0","","https://www.scopus.com/pages/publications/105034881411?origin=resultslist","Institute of Aeronautical Engineering, Hyderabad, India","Rakshitha V., Institute of Aeronautical Engineering, Hyderabad, India; Reddy R.S., Institute of Aeronautical Engineering, Hyderabad, India; Reddy A.T., Institute of Aeronautical Engineering, Hyderabad, India; Keerthi S.S., Institute of Aeronautical Engineering, Hyderabad, India","Customer churn, the gradual decline in customer retention, is a significant concern in the business and financial sectors. Identifying customers likely to leave allows companies to take proactive measures to retain them. This article explores how machine learning algorithms; can predict which banking customers are at risk of switching to another institution. In the customer churn prediction model, the decision tree and KNN algorithms achieved the highest accuracy of 99.95%, followed by logistic regression at 99.55%. These results highlight the effectiveness of machine learning models in predicting churn with high precision. © Grenze Scientific Society, 2025.","Churn; machine learning","Customer satisfaction; Decision trees; Forecasting; Learning algorithms; Logistic regression; Machine learning; Prediction models; Sales; Banking customers; Business sector; Churn; Customer churn prediction; Customer churns; Customer retention; Financial sectors; Machine learning algorithms; Machine-learning; Proactive measures; Learning systems","Grenze Scientific Society","Conference paper","Final","","Scopus","2-s2.0-105034881411"
"Datta S.;  Ghosh C.;  Saha P.;  Sadhukhan S.;  Nandy P.","Datta, Shrayasi (57190866042);  Ghosh, Chinmoy (57219304489);  Saha, Piyali (60219499800);  Sadhukhan, Shankhasree (60219499900);  Nandy, Piyasa (60219533400)","57190866042; 57219304489; 60219499800; 60219499900; 60219533400","Predicting Customer Churn in Banking Sector Using Machine Learning Classification Algorithms","2026","Lecture Notes in Networks and Systems","1455 LNNS","","","59","75","0","10.1007/978-981-96-7742-9_5","https://www.scopus.com/pages/publications/105023498373?origin=resultslist","Department of Information Technology, Jalpaiguri Government Engineering College, West Bengal, Jalpaiguri, India; Department of Computer Science and Engineering, Jalpaiguri Government Engineering College, West Bengal, Jalpaiguri, India","Datta S., Department of Information Technology, Jalpaiguri Government Engineering College, West Bengal, Jalpaiguri, India;  Ghosh C., Department of Computer Science and Engineering, Jalpaiguri Government Engineering College, West Bengal, Jalpaiguri, India;  Saha P., Department of Information Technology, Jalpaiguri Government Engineering College, West Bengal, Jalpaiguri, India;  Sadhukhan S., Department of Information Technology, Jalpaiguri Government Engineering College, West Bengal, Jalpaiguri, India;  Nandy P., Department of Information Technology, Jalpaiguri Government Engineering College, West Bengal, Jalpaiguri, India","Machine Learning (ML) serves a crucial role in e-commerce datasets by providing valuable insights and predictive capabilities. This paper explores the realms of customer behavior prediction by employing machine learning techniques on e-commerce datasets focusing on Bank customer churn. The objective is to understand and predict why customers might leave a bank. In this paper, three Filter Feature selection algorithms namely Chi-Square, Information Gain, and Univariate Feature Selection in conjunction with classification algorithms such as Decision Tree (DT), Support Vector Machines (SVM), Random Forest, K-Nearest Neighbors (k-NN), Multilayer Perceptron (MLP), Logistic Regression, and Gaussian Naïve Bayes have been used. To determine the most effective and precise method to predict customer churn, the performance of these algorithms is also being assessed against a variety of performance metrics both with and without the feature selection methods. According to the research, Random Forest exhibits the highest accuracy of 99.91% for predicting customer attrition, and when the Chi-square feature selection method is used, it performs somewhat better with an accuracy of 99.95%. © The Author(s), under exclusive license to Springer Nature Singapore Pte Ltd. 2026.","Bank customer churn; Classification; Information gain; Machine learning; Univariate feature selection","Barium compounds; Decision trees; Electronic commerce; Feature extraction; Learning systems; Logistic regression; Nearest neighbor search; Random forests; Sales; Support vector regression; Bank customer churn; Classification algorithm; Customer churns; E- commerces; Features selection; Information gain; Machine-learning; Random forests; Univariate; Univariate feature selection; Classification (of information)","Springer Science and Business Media Deutschland GmbH","Conference paper","Final","","Scopus","2-s2.0-105023498373"
"Roy J.; Singh S.K.; Shaw L.","Roy, Joyjit (60254850100); Singh, Samaresh Kumar (60255703300); Shaw, Laxmi (56963348700)","60254850100; 60255703300; 56963348700","Customer Churn Prediction on Structured Data Using FT-Transformer and Stacking Ensembles","2026","IEEE Access","","","","","","0","10.1109/ACCESS.2026.3686374","https://www.scopus.com/pages/publications/105036655499?origin=resultslist","Texas A & M University-Victoria, Victoria, TX, United States","Roy J.; Singh S.K.; Shaw L., Texas A & M University-Victoria, Victoria, TX, United States","Customer churn prediction is essential across data-driven industries such as insurance, digital banking, e-commerce, and subscription platforms, where retaining existing customers usually incurs lower cost than acquiring new ones. Churn prediction on structured tabular datasets remains challenging due to class imbalance, nonlinear feature interactions, and heterogeneous feature types. Tree-based ensembles continue to demonstrate strong performance in these settings, often outperforming conventional neural networks. This study introduces a validated hybrid architecture that integrates feature-tokenized transformers (FT- Transformer) with gradient-boosted trees using calibration-aware stacking. The framework addresses gaps in statistical validation, probability calibration, and reproducibility that persist in existing work. An FT-Transformer models higher-order feature interactions via self-attention, while XGBoost captures gradientboosted decision boundaries with complementary inductive biases. The models are ensembled using out-of-fold (OOF) stacking with a logistic regression meta-learner to improve generalization under class imbalance. On a public bank churn dataset (10,000 customers, 20% churn rate), the hybrid model achieves 62.10% F1, 0.861 AUC-ROC, and 0.647 PR-AUC, outperforming the Multi-Layer Perceptron (MLP) baseline by 3.37 F1 points (p < 0.001) and 0.027 AUC under 5x5 cross-validation. Ablation studies confirm that both the transformer component and stacking strategy contribute materially to performance. The proposed methodology provides a reproducible and extensible reference architecture for modern churn prediction on structured tabular data, bridging recent advances in attention-based modeling with ensemble techniques. © 2013 IEEE.","class imbalance; Customer churn prediction; FT-Transformer; gradient boosting; probability calibration; reproducible machine learning; stacking ensemble; tabular data","Adaptive boosting; Calibration; Electronic commerce; Forecasting; Forestry; Learning systems; Logistic regression; Network architecture; Neural networks; Class imbalance; Customer churn prediction; FT-transformer; Gradient boosting; Machine-learning; Probability calibration; Reproducible machine learning; Stacking ensemble; Stackings; Tabular data; Sales","Institute of Electrical and Electronics Engineers Inc.","Article","Article in press","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105036655499"
"Zhang H.; Wang Y.; Li Z.; Wang X.","Zhang, Hanyuan (60197927000); Wang, Yankai (60198484500); Li, Zexuan (60197642000); Wang, Xiaoyin (60198063400)","60197927000; 60198484500; 60197642000; 60198063400","Machine Learning Models for Bank Customer Churn Prediction: A Comparative Study of LightGBM, CatBoost, and XGBoost","2025","BDAIE 2025 - Proceedings of 2025 International Conference on Big Data, Artificial Intelligence and Digital Economy","","","","6","16","0","10.1145/3767052.3767054","https://www.scopus.com/pages/publications/105022139429?origin=resultslist","Faculty of Business and Management, Beijing Normal-Hong Kong Baptist University, Guangdong, Zhuhai, China; School of Public Administration, Hubei University, Hubei, Wuhan, China; Faculty of Management and Economics, Beijing Institute of Technology, Beijing, China; SHU-UTS SILC Business School, Shanghai University, Shanghai, China","Zhang H., Faculty of Business and Management, Beijing Normal-Hong Kong Baptist University, Guangdong, Zhuhai, China; Wang Y., School of Public Administration, Hubei University, Hubei, Wuhan, China; Li Z., Faculty of Management and Economics, Beijing Institute of Technology, Beijing, China; Wang X., SHU-UTS SILC Business School, Shanghai University, Shanghai, China","This research is dedicated to forecasting bank customer churn by using machine learning methods. In the highly competitive landscape of the banking industry, retaining customers has emerged as a critical factor for a bank's success. Eleven distinct machine learning models were utilized in the analysis of a bank customer dataset. Prior to model implementation, comprehensive data preprocessing was conducted, encompassing the management of missing values, encoding of categorical variables, and detection of outliers. The models were then evaluated under various data split ratios and sampling methods, with recall serving as the primary evaluation metric.The study's findings indicate that LightGBM, CatBoost, and XGBoost demonstrate superior performance in predicting customer churn. Additionally, Gradient Boost, Ada Boost, and Bagging prove to be effective in handling imbalanced data. Several key predictors of customer churn, such as Total_Trans_Amt and Total Trans ct, were identified. These results offer valuable practical implications for banks in formulating customer retention strategies. However, it is necessary to recognize the research's limitations. There may be deficiencies in data representation. What's more, external factors that could influence customer churn have been excluded.  © 2025 Copyright held by the owner/author(s).","bank customer churn prediction; exploratory data analysis; machine learning","Adaptive boosting; Customer satisfaction; Data reduction; Forecasting; Information management; Machine learning; Bank customer churn prediction; Banking industry; Comparatives studies; Critical factors; Customer churn prediction; Customer churns; Exploratory data analysis; Machine learning methods; Machine learning models; Machine-learning; Learning systems; Sales","Association for Computing Machinery, Inc","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105022139429"
"Kerkri A.","Kerkri, Abdelmounaim (57204426636)","57204426636","Profit-Weighted Machine Learning: A Cross-Domain Analysis of Ensemble Approaches to Churn Prediction","2026","Operations Research Forum","7","2","39","","","0","10.1007/s43069-026-00627-0","https://www.scopus.com/pages/publications/105033983306?origin=resultslist","Laboratory of Engineering Sciences and Intelligent Systems, National School of Applied Sciences, Mohammed Premier University, Oujda, Morocco","Kerkri A., Laboratory of Engineering Sciences and Intelligent Systems, National School of Applied Sciences, Mohammed Premier University, Oujda, Morocco","We present a profit-weighted ensemble learning framework for customer churn prediction that integrates customer economic value throughout the modeling pipeline. Our approach incorporates value considerations at three levels: base model training through profit-weighted sampling, ensemble construction via value-aware meta-learning, and decision threshold optimization. We introduce value-weighted AUC and top decile lift as novel evaluation metrics that prioritize high-value customer classification accuracy. Through comprehensive evaluation across banking, e-commerce, and streaming domains using nested cross-validation, we compare our method against established profit-oriented approaches. Results reveal a fundamental trade-off between discrimination capability and profit optimization: while our ensemble achieves competitive value-weighted AUC performance, segmentation-based methods consistently outperform continuous value-weighting approaches in economic outcomes across all domains. Cross-domain analysis demonstrates that customer heterogeneity represents the primary driver of profit optimization in churn prediction, with explicit segmentation strategies proving more effective than algorithmic sophistication alone. Our methodological contributions provide novel business-aligned metrics and evaluation tools for future research in profit-oriented machine learning applications. © The Author(s), under exclusive licence to Springer Nature Switzerland AG 2026.","Churn prediction; Cross-domain analysis; Customer value; Ensemble learning; Profit optimization; Retention economics","","Springer International Publishing","Article","Final","","Scopus","2-s2.0-105033983306"
